"CHR" "POPNAME" "H_E_VARSITES" "H_E_ALLSITES" "H_E_UNBIASED_VARSITES" "H_E_UNBIASED_ALLSITES" "NOVAR_IN_POP" "N_TOT_IN_POP"
"X" "Baka" "0.296340458300518" "0.000666908667809615" "0.325974504130569" "0.000733599534590576" "143295399" "143618610"
"X" "Nzime" "0.381459635808325" "0.000574571142096721" "0.476824544760406" "0.000718213927620901" "143250073" "143466168"
"X" "BaKola" "0.360134257026268" "0.000592210010673494" "0.432161108431521" "0.000710652012808193" "140977927" "141210135"
"X" "Ngumba" "0.353836013067992" "0.00061886500939832" "0.42460321568159" "0.000742638011277984" "143352401" "143603566"
"X" "AkaMbati" "0.360557286548922" "0.000597610620076742" "0.432668743858706" "0.00071713274409209" "143440418" "143678560"
"X" "BaKiga" "0.335310380486025" "0.000625988190173761" "0.391195443900362" "0.000730319555202721" "143499977" "143768377"
"X" "BaTwa" "0.322665871151852" "0.000617582546720846" "0.354932458267038" "0.000679340801392931" "143698816" "143974383"
"X" "Nsua" "0.342956772991593" "0.000560555722520386" "0.391950597704678" "0.00064063511145187" "143275366" "143509930"
"X" "BaKonjo" "0.33791424715299" "0.000634185529926866" "0.394233288345155" "0.000739883118248011" "142872371" "143141013"
"X" "Karretjiepeople" "0.342357272427765" "0.000630762699666298" "0.399416817832392" "0.000735889816277348" "143399805" "143664494"
"X" "GuiandGana" "0.32106173791147" "0.000670143808301783" "0.366927700470251" "0.00076587863805918" "143583996" "143884322"
"X" "Juhoansi" "0.38096299405451" "0.000574968077698803" "0.476203742568138" "0.000718710097123503" "143432772" "143649575"
"X" "Nama" "0.358870680890877" "0.000616203157832243" "0.430644817069053" "0.000739443789398692" "143474311" "143721089"
"X" "Xun" "0.379271641369074" "0.000597564045069758" "0.474089551711342" "0.000746955056337197" "143451081" "143677453"
"X" "BantuHerero" "0.5" "0.000380280559705396" "1" "0.000760561119410791" "143821108" "143930576"
"X" "BantuKenya" "0.444444444444445" "0.000479542357837565" "0.666666666666667" "0.000719313536756348" "143878213" "144033621"
"X" "BantuTswana" "0.5" "0.00037792647466624" "1" "0.00075585294933248" "143751256" "143859993"
"X" "Biaka" "0.5" "0.000365377804242248" "1" "0.000730755608484495" "143799313" "143904472"
"X" "Dinka" "0.405813687504236" "0.000507972018390605" "0.541084916672315" "0.000677296024520807" "141267993" "141445045"
"X" "Esan" "0.379879177968829" "0.000574138392212079" "0.474848972461036" "0.000717672990265099" "143698175" "143915685"
"X" "Gambian" "0.444444444444444" "0.000477697026573614" "0.666666666666667" "0.000716545539860421" "143828649" "143983405"
"X" "Igbo" "0.444444444444444" "0.000468140137533496" "0.666666666666667" "0.000702210206300244" "143843197" "143994869"
"X" "Juhoansi_comp" "0.407532432786599" "0.000527691413562554" "0.543376577048798" "0.000703588551416739" "141260787" "141443935"
"X" "Khomani" "0.410968089963367" "0.000524853070398141" "0.547957453284489" "0.000699804093864188" "143879904" "144063890"
"X" "Lemande" "0.444444444444444" "0.000487384542588816" "0.666666666666667" "0.000731076813883224" "143853390" "144011315"
"X" "Luhya" "0.378721547059345" "0.000593191095119756" "0.473401933824182" "0.000741488868899695" "143718980" "143944440"
"X" "Luo" "0.444444444444444" "0.000484904921597663" "0.666666666666667" "0.000727357382396494" "143825317" "143982407"
"X" "Mandenka" "0.377959179663515" "0.000544890654772855" "0.472448974579393" "0.000681113318466069" "141004646" "141208221"
"X" "Maasai" "0.5" "0.000362640281686555" "1" "0.00072528056337311" "143808207" "143912584"
"X" "Mbuti" "0.363758164687897" "0.000530426661301038" "0.436509797625477" "0.000636511993561246" "140752576" "140958119"
"X" "Mende" "0.376478752936152" "0.000588353463842862" "0.47059844117019" "0.000735441829803578" "143611201" "143835985"
"X" "Mozabite" "0.444444444444444" "0.0003705878904008" "0.666666666666667" "0.0005558818356012" "143864979" "143985037"
"X" "Saharawi" "0.5" "0.000244846916765487" "1" "0.000489693833530974" "143915376" "143985885"
"X" "Yoruba" "0.377498711207341" "0.000569757664600978" "0.471873389009176" "0.000712197080751222" "141162377" "141375755"
